com.vladmihalcea.flexy-pool/flexy-common-adapter 0
com.vladmihalcea.flexy-pool/flexy-codahale-metrics 11
com.vladmihalcea.flexy-pool/flexy-btm 2
com.vladmihalcea.flexy-pool/flexy-bonecp 2
com.vladmihalcea.flexy-pool/flexy-atomikos 2
com.visenze/visearch-java-sdk 50
com.unvired/ump-sdk 356
com.unvired/android-cordova-sdk
com.trivago/rta
com.tinkerforge/tinkerforge 1542
com.testvagrant.stepdefs/stepdefs 75
com.tencent.angel/spark-on-angel
com.tencent.angel/spark-on-angel-mllib 1121
com.tencent.angel/spark-on-angel-examples 300
com.tencent.angel/spark-on-angel-core 106
com.tencent.angel/angel
com.tencent.angel/angel-ps
com.tencent.angel/angel-ps-tools 21
com.tencent.angel/angel-ps-psf 251
com.tencent.angel/angel-ps-mllib 642
com.tencent.angel/angel-ps-examples 20
com.tencent.angel/angel-ps-core 2270
com.tencent.angel/angel-dist 0
com.sxtanna.db/Kuery 513
com.solace.labs.cloud.cloudfoundry/solace-labs-spring-cloud-connector 2
com.sdl.delivery.ish/webapp-gui
com.sdl.delivery.ish/webapp-backend 1
com.sdl.delivery.ish/webapp-assembly
com.sdl.delivery.ish/web-app-war
com.sdl.delivery.ish/ish-ugc-module 12
com.sdl.delivery.ish/ish-search 8
com.sdl.delivery.ish/ish-module 41
com.sdl.delivery.ish/dd-webapp-archetype 0
com.redhat.victims/maven
com.quartzdesk/quartzdesk-web
com.quartzdesk/quartzdesk-api 558
com.quartzdesk/quartzdesk-agent 7114
com.pushpopsoft/json-rpc-lib-server 49
com.pushpopsoft/json-rpc-lib-binding 19
com.playtika.testcontainers/testcontainers-spring-boot
com.playtika.testcontainers/testcontainers-common 28
com.playtika.testcontainers/embedded-redis 12
com.playtika.testcontainers/embedded-memsql 6
com.playtika.testcontainers/embedded-mariadb 5
com.playtika.testcontainers/embedded-kafka 17
com.playtika.testcontainers/embedded-couchbase 8
com.playtika.testcontainers/embedded-aerospike 11
com.nimbusds/jgroups-dynamodb-ping 1
com.nimbusds/infinispan-cachestore-dynamodb 22
com.networknt/json-schema-validator 122
com.nedap.healthcare/archie 909
com.mxixm/fastboot-weixin 379
com.manganit.half/half-util 5
com.manganit.half/half-security 2
com.manganit.half/half-parent
com.manganit.half/half-logging 5
com.manganit.half/half-client 13
com.manganit.half/half-action 4
com.manganit/hadoop-parent
com.luxiliu/labellayout
com.lixar.lwayve/lwayve-decisiontree 30
com.liumapp.certificate/certificate-generator 60
com.landawn/abacus-util 5187
com.landawn/abacus-util-all 5788
com.landawn/abacus-android 248
com.landawn/abacus-android-se 2219
com.kaltura/KalturaOttApiClient 1500
com.kaltura/KalturaOttAndroidClient 0
com.ingenico.connect.gateway/connect-sdk-client-android
com.icegreen/greenmail 206
com.icegreen/greenmail-webapp
com.icegreen/greenmail-standalone 951
com.icegreen/greenmail-spring 3
com.icegreen/greenmail-parent
com.icegreen/greenmail-jboss-service
com.icegreen/greenmail-docker-standalone 0
com.graphql-java/graphql-spring-boot-starter 0
com.graphql-java/graphql-spring-boot-autoconfigure 8
com.graphql-java/graphql-java-servlet 60
com.graphql-java/graphiql-spring-boot-starter 0
com.graphql-java/graphiql-spring-boot-autoconfigure 2
com.google.apis/google-api-services-tpu 47
com.google.apis/google-api-services-streetviewpublish 35
com.google.apis/google-api-services-androidenterprise 179
com.gizwits/springfox-swagger-ui 0
com.github/yadickson
com.github.nonorc/saladium 45
com.github.mizool.technology/technology
com.github.mizool.technology/technology-web 15
com.github.mizool.technology/technology-jackson 20
com.github.mizool.technology/technology-cassandra 11
com.github.mizool.technology/technology-cassandra-datasource 4
com.github.mizool.technology/technology-cache 17
com.github.mizool.technology/technology-aws 5
com.github.mizool/mizool
com.github.mizool/mizool-core 146
com.github.mineex/LibEx 12
com.github.mictaege/spoon-gradle-plugin 12
com.github.mictaege/jitter-plugin 40
com.github.mictaege/jitter-api 6
com.github.martinpaljak/esteid 28
com.github.kochedykov/jlibmodbus 191
com.github.javaito/hcjf 483
com.github.febialfarabi/alfalibs
com.github.binarywang/java-testdata-generator 18
com.github.bilthon/graphenej
com.github.aivancioglo/resttest 66
com.github.XDean/AnnotationProcessorToolkit 15
com.github.AmalLibs/Paralloid
com.github.AmalH/Paralloid
com.github.AmalH/Parallax
com.gitee.maskit/maskit
com.gitee.maskit/maskit-mock-feign-client 2
com.gensetgo/RMS
com.genesys/workspace 845
com.genesys/statistics 109
com.genesys/provisioning 716
com.genesys/authorization 70
com.floragunn/search-guard-ssl 34
com.drewnoakes/metadata-extractor 427
com.componentcorp.xml.validation/test-helpers 9
com.componentcorp.xml.validation/relaxng 1
com.componentcorp.xml.validation/relaxng-compact 1
com.componentcorp.xml.validation/jxvc 40
com.componentcorp.xml.validation/jxvc-tests 0
com.componentcorp.xml.validation/jxvc-master
com.componentcorp.xml.validation/base 13
com/cedarsoft
com.blueconic/browscap-java 15
